Time,Active_Replicas,P95_Latency,P99_Latency,Avg_Latency,Total_CPU,Requests
0,5,11.369503049162487,11.43009931743916,10.139379932713044,13.315890618483333,26
1,5,11.270288395817653,11.421951318877076,10.155573175647318,23.51721241528936,21
2,5,11.293580895042131,11.417592663183694,10.088771840715411,35.84517520166928,24
3,5,11.264774923857651,11.410296191633634,9.992505957685909,47.277710636088145,23
4,5,11.287941767486247,11.422791752722382,10.058953901536293,60.32534107192389,27
5,5,11.308516692107268,11.427075653346774,10.063703654602726,71.9163991765923,23
6,5,11.347482948078168,11.435238850584446,10.044802295543063,84.24483804721473,25
7,5,11.325977019519579,11.433830471643255,10.042540202525972,94.43693422153241,21
8,5,11.356177032434672,11.43236984402249,10.054288291159548,106.12487339846305,24
9,5,11.35536268690242,11.433787079079588,10.041426045913868,117.50871860796784,23
10,5,11.353396271338939,11.436201442978776,10.044196386660369,131.60409636503294,28
11,5,11.344211995799194,11.43479602393636,10.033330631869285,143.74541513092436,25
12,5,11.350534251397379,11.444236354750924,10.019194969996292,157.38122565285136,28
13,5,11.350314096017259,11.44311373041966,10.020317755184951,167.98519676754063,21
14,5,11.352955960578699,11.44520007655523,10.015676569739899,181.816187967463,28
15,5,11.35970586307443,11.445274394532694,10.016317358303452,208.93004499881494,54
16,5,11.368575922531415,11.447612947585755,10.016733527547828,238.16144415277068,60
17,5,11.384353744044773,11.460762200072873,10.017085138688307,265.7447929146749,56
18,5,11.387949710766197,11.460762200072873,10.000946019307491,293.53709604090204,57
19,5,11.381323516517268,11.460762200072873,9.978457327040152,323.2830596801901,59
20,5,11.381323516517268,11.460916358545031,9.986631594465665,337.51340254010057,28
21,5,11.387949710766197,11.479131396584334,9.996746324077643,349.34116907852734,24
22,5,11.49334317564752,13.474327342174606,10.127563004192115,360.89099170336294,24
23,5,12.825445212465146,13.691867645089127,10.258508979100682,373.3749790841705,24
24,5,13.69375670597865,21.92275073674133,10.697821925060046,383.74648318370305,21
25,5,21.800225825512328,25.447132423373485,11.291522206783007,394.20334629288783,21
26,5,25.172891207439775,28.827555166983963,12.190562160770087,407.45874800919245,26
27,5,29.006263287269363,32.7541201769105,13.290052898820546,420.50642567876014,26
28,5,32.9003871326208,36.5275326067269,14.694171701291996,434.3006606306441,28
29,5,36.31898726270343,41.26475718873828,16.027699019716902,445.2240685598567,23
30,5,41.16756113885727,45.263689580191425,17.416496343130234,455.5657286187759,21
31,5,43.53743930688899,47.557370280320804,19.00449938795322,467.1674602644288,23
32,5,47.56242635683636,51.43233600495508,21.10950222980705,480.82196408022014,27
33,5,50.80560344118977,56.44149722318693,23.195606683689824,493.04071897163175,24
34,5,55.1354921250617,59.57984643505108,25.46272276293942,505.39511304781587,24
35,5,65.89796222026484,71.66382174690524,32.33151469475115,537.4693881623355,63
36,5,75.24978412393243,80.05718032782984,40.41703110942168,568.9465735810879,63
