Time,Active_Replicas,P95_Latency,P99_Latency,Avg_Latency,Total_CPU,Requests
0,5,11.369503049162487,11.43009931743916,10.139379932713044,13.31589061848333,26
1,5,11.270288395817653,11.421951318877076,10.15557317564732,23.517212415289364,21
2,5,11.293580895042131,11.417592663183694,10.08877184071541,35.84517520166927,24
3,5,11.264774923857651,11.410296191633634,9.99250595768591,47.277710636088145,23
4,5,11.287941767486247,11.422791752722382,10.058953901536295,60.32534107192389,27
5,5,11.308516692107268,11.427075653346774,10.063703654602726,71.91639917659228,23
6,5,11.347482948078168,11.435238850584446,10.044802295543061,84.24483804721473,25
7,5,11.325977019519579,11.433830471643255,10.042540202525972,94.4369342215324,21
8,5,11.356177032434672,11.43236984402249,10.05428829115955,106.12487339846305,24
9,5,11.35536268690242,11.433787079079588,10.041426045913868,117.50871860796784,23
10,5,11.353396271338939,11.436201442978776,10.044196386660367,131.60409636503294,28
11,5,11.344211995799194,11.43479602393636,10.033330631869287,143.74541513092436,25
12,5,11.350534251397379,11.444236354750924,10.01919496999629,157.38122565285136,28
13,5,11.350314096017259,11.44311373041966,10.02031775518495,167.9851967675406,21
14,5,11.352955960578699,11.44520007655523,10.0156765697399,181.81618796746298,28
15,5,11.35970586307443,11.445274394532694,10.01631735830345,208.93004499881494,54
16,5,11.368575922531415,11.447612947585755,10.01673352754783,238.16144415277068,60
17,5,11.384353744044773,11.460762200072873,10.016844188382292,265.7447929146749,56
18,5,11.387949710766197,11.460762200072873,10.004734102570684,293.537096040902,57
19,5,11.381323516517268,11.460762200072873,9.980197614544817,323.2830596801901,59
20,5,11.381323516517268,11.460916358545031,9.985842405881046,337.51340254010057,28
21,5,11.38852922847203,11.479131396584334,10.002566410483865,349.34116907852734,24
22,5,11.47947237219612,13.465123749699563,10.120452932369124,360.89099170336294,24
23,5,12.829992500825513,13.763195938652142,10.27722100946752,373.3749790841705,24
24,5,13.69812790374245,21.945608515928793,10.708627779939432,383.74648318370305,21
25,5,21.924684927633113,25.195593024625346,11.299826047340984,394.2033462928879,21
26,5,24.817366907190102,29.394186529931478,12.200533913970053,407.4587480091924,26
27,5,29.39894192353036,32.98520351003081,13.292180489261055,420.50642567876014,26
28,5,33.210999268416344,37.32262882466789,14.706971822255023,434.3006606306441,28
29,5,36.370638989517786,42.02252610978949,16.037516850700424,445.2240685598567,23
30,5,41.12731047278338,44.99993321092089,17.420468148254937,455.5657286187759,21
31,5,43.28056366842768,47.89782900793581,19.009499130937215,467.1674602644288,23
32,5,47.533039729306054,51.79621265880533,21.117298832153267,480.8219640802201,27
33,5,50.58772881059481,56.16352257685031,23.19793154436511,493.04071897163175,24
34,5,54.65529848978878,59.29346287371454,25.466393684836714,505.39511304781587,24
35,5,66.33487376847773,72.44649886354898,32.34518029546082,537.4693881623355,63
36,5,75.59749882437399,81.26267201826937,40.42404024568899,568.9465735810879,63
37,5,85.69363084148996,91.46696738234294,48.6740128893695,596.614281252235,55
38,5,94.30886835668473,101.43783499000335,57.86912326974978,625.6057401739286,57
39,5,105.56211826606477,111.19473987657379,67.35030641196636,655.780150504576,60
40,5,109.06788750094437,115.32133311718621,70.84277134215748,666.7594111294775,22
41,5,112.2056503094111,119.41403409240837,74.64974513078998,679.1245897771555,24
42,5,116.36738404321945,123.27711109825088,78.80955426736222,691.9790682420556,26
43,5,120.6714770170652,127.8480926508503,82.30691526901397,703.0522477046593,22
44,5,124.89111038615638,132.45146942249312,86.62393871632885,716.4525421196604,27
45,5,127.4757185361391,134.70942319298905,90.06200397931097,727.4817242044849,22
46,5,130.04846924392774,137.72535295961416,93.73345233169017,739.2551921638066,24
47,5,133.63108628136018,139.35734462935787,96.97534262194311,749.6931319625022,21
48,5,136.54671037658431,142.0063176482838,100.35934565895413,760.9656760501795,22
49,5,138.61015872941516,148.78991009492793,103.5254851326882,771.2201421081572,21
50,5,141.20076545645188,153.16252272707771,107.12316619449905,783.4279248412511,24
51,5,148.4771739210084,156.73468599845845,111.43999902519255,797.1940671600552,28
52,5,152.60084956192904,159.47140842758876,115.26998937944705,809.830923550693,25
53,5,156.74336153267288,165.64156240343553,119.33214869900367,822.9333427450754,26
54,5,161.75875752171945,166.98439377737031,122.90382040906758,834.5013320273249,24
55,5,167.93005036664522,179.3490113112452,131.482606864552,862.3239458500386,56
56,5,179.54820680573428,188.01731980069223,140.29152786839353,891.718096180894,58
57,5,188.86063086862507,197.34639335825102,149.0128824357773,921.2991635696726,58
58,5,196.03787842552765,204.13356178022187,156.92889786299807,948.6471438729185,55
59,5,204.12505148133744,217.57473936549314,165.79558523476203,978.80303742938,60
60,5,210.27278073563167,219.6418995189484,169.32802709569367,989.8699010845014,22
61,5,213.92002908056918,222.4276068896707,173.54160037357516,1003.9109636082328,28
62,5,219.16778670537695,227.44757799181906,178.11860145216832,1017.712380285506,28
63,5,223.60205081834494,232.74617566281339,182.26946205875237,1030.7010939317388,27
64,5,225.6903747385317,236.60010171334866,186.07479510336796,1043.1912805834897,26
65,5,230.23822208662426,240.71757524997705,189.40202624425385,1054.5646036151993,23
66,5,233.82072631388124,242.3546942175015,192.67162702379636,1065.9106799048523,22
67,5,237.54920861492334,244.70067498261002,196.00962118646464,1077.3772570509577,23
68,5,241.32348774326505,253.95607482769344,200.17189291992256,1091.3666199209906,28
69,5,245.3238795133983,256.3796927381245,204.15697054292912,1105.2116720614724,27
70,5,249.73334357353417,260.7869127059009,207.81927410903023,1117.4820188754486,24
71,5,252.88547956785612,261.89164163401966,210.76501402194904,1128.465907602132,21
72,5,255.99580649542662,268.62955244924103,214.4597432365532,1140.2319027385888,23
73,5,260.93892848305313,273.268296138154,218.43781450986717,1154.3081504912432,27
74,5,265.33665970477716,278.9511980088885,222.4673584863287,1168.3512670648097,27
75,5,274.4230224087903,284.5753072968774,231.32659827294398,1195.623739967026,56
76,5,286.3821219738924,297.46231755875687,240.99851868148028,1226.5774433572587,62
