Time,Active_Replicas,P95_Latency,P99_Latency,Avg_Latency,Total_CPU,Requests
0,1,11.344306030432817,11.428547317713049,10.178893883790526,15.224479347941715,30
1,1,11.262412007303364,11.418071319561797,10.153664528574673,28.315837004487513,27
2,1,11.271076034669083,11.41283409478148,10.121017231961453,43.217244096717884,29
3,1,11.245430409427234,11.40839276427275,10.053104356750424,57.23885145726207,28
4,2,11.243864813592992,11.421871988575937,10.055102602791816,72.75404229975504,32
5,2,11.25709388665287,11.426958929058621,10.073200404040163,87.17520814203147,29
6,2,11.308550597385448,11.434165799962585,10.049521260572234,101.87765442828268,30
7,2,11.28825281622669,11.433159815004592,10.031905210226991,115.15420290212094,27
8,3,11.315919231620274,11.432147411616882,10.04670510897675,129.51408452508605,29
9,3,11.33100591346923,11.43368943896006,10.034085037676158,143.2979321834254,28
10,3,11.315919231620274,11.43547062507672,10.038207702470883,159.19486733181512,32
11,3,11.29506198323824,11.434233856319397,10.024243992427373,173.974207810726,30
12,4,11.296860465124535,11.444236354750924,10.024630013521127,189.38217883798126,32
13,4,11.29052748491539,11.442792980610728,10.028394730294114,202.9709105650912,27
14,4,11.297759706067682,11.445183920473172,10.02727839908173,218.92495037054124,32
15,4,11.29506198323824,11.44514676148444,10.02131286941367,232.51550094534957,27
16,5,11.361481215382573,11.444503646258369,10.017110730852188,247.16111887581445,30
17,5,11.368575922531415,11.445242082368578,10.015177322165872,260.74951839435573,28
18,5,11.366803251056766,11.445196845338817,10.00834315300401,274.84276304550764,28
19,5,11.360371620189984,11.445149992700852,10.006009725031912,289.329572724098,29
20,5,11.350365389147889,11.445461112623809,10.002698097031022,305.5474391121526,32
21,5,11.350365389147889,11.44514676148444,10.00876426555295,319.59656958493747,29
22,5,11.350365389147889,11.44514676148444,10.002796977176507,333.8291363718225,29
23,5,11.312245649472644,11.44514676148444,9.996590819008105,348.7473967836967,29
24,5,11.596315494432625,13.259298676577775,10.139623661810864,362.12252460142804,27
25,5,12.929278624321297,14.06381987649274,10.350283951851237,375.5978959579753,27
26,5,20.20461182026314,24.137615891142072,11.09437676884716,391.5893968577461,31
27,5,24.888408165525068,29.077495652424613,12.131798445393544,407.23846677598465,31
28,5,29.398636129070635,33.717424639099534,13.507590115364883,422.98082592288745,32
29,5,34.11007482153902,39.23837584535046,14.978305844040792,436.4272443426635,28
30,5,39.215923691037744,42.40625553088312,16.626829064848888,449.900781448909,27
31,5,41.89263718950015,47.05110459945593,18.49568157501495,463.99995965167716,28
32,5,47.16170063080835,51.422451341356535,20.97434256386525,480.18175700962666,32
33,5,51.43307775039218,57.525980012021186,23.513538213860926,494.80852756664933,29
34,5,57.52565059901806,62.92383860744508,26.342956205724736,509.758843026085,29
35,5,60.99998199597109,69.45681017936967,29.64569992505387,525.5703531904281,31
36,5,67.85236984491328,72.19878317686214,33.24970946168457,540.7225985362442,31
37,5,72.21519185944626,78.34377982626714,36.78472974083245,554.2403165626904,27
38,5,78.10417695769067,83.9709324585425,40.62287135617859,568.2173269800194,28
39,5,81.51389281755799,86.99975588661441,44.93547206438732,583.3351396791335,30
40,5,85.74225896609428,91.96233113175738,49.08534679860536,596.914238578834,27
41,5,90.23351314308432,95.55743678722939,53.65045016838823,611.7157837404739,29
42,5,95.20476371739491,102.21102491978691,58.742822785547396,627.1688898252883,31
43,5,99.32516872794984,106.86464851840074,63.136525823497955,641.1849598681681,28
44,5,105.45752899501761,111.70010930288308,68.06165743170189,656.5139266705706,31
45,5,108.44106397476553,114.95122695135579,72.18518058418815,669.9548810689146,27
46,5,111.70411567326315,118.575965314892,76.5826076465056,684.223403245805,29
47,5,115.41004828550795,122.60762492225327,80.68250992218552,697.4481902182574,27
48,5,121.23453911832746,129.40466900983145,85.06873437057669,711.5305627800245,28
49,5,123.42297345676423,133.07348255931078,89.18027414235155,724.867078575935,27
50,5,128.7897360210739,138.37538675328477,93.62465259251162,739.8655277623266,29
51,5,135.13703803803935,143.80215663862398,98.58699871160181,755.5916615570446,32
52,5,139.4046976827133,147.25504272202204,103.19578267055498,770.6337323284461,30
53,5,144.88115719644836,153.22826068194874,107.99852996364703,786.233889382011,31
54,5,150.76811692017716,155.27683265530658,112.28791498601394,800.1678885639708,29
55,5,153.8336665581168,165.60657131031977,116.67200588179554,813.8984914490443,28
56,5,159.8096146521843,167.864670276976,121.03925272071002,828.8804279186354,29
57,5,165.95048925504256,173.5045057656775,125.55743428368278,843.481760434564,29
58,5,168.44544602519127,175.9096893547659,129.51708297220947,856.705432892936,27
59,5,171.50884579612622,177.46039084476843,133.90498774206648,872.15477064301,30
60,5,175.10943156237798,183.80367507553848,137.86935732026004,885.6580166256199,27
61,5,180.83389352447298,188.16358302611502,142.56109694335214,901.7306313358255,32
62,5,186.71088189533253,195.12532472838168,147.5703165261281,917.6483881624642,32
63,5,191.45315816143608,200.47741223874218,152.6120049153875,933.14560751872,32
64,5,195.3276262670718,204.8791871745278,157.2970610502275,948.1244085589324,31
65,5,200.6880394491756,210.1783966107008,161.4939951524366,961.9232133015923,28
66,5,204.8821005951052,212.21140391396438,165.5296876514093,975.6065852523684,27
67,5,208.71096236138828,218.6011814974084,169.65962022150669,989.5319214680625,28
68,5,212.47533106742227,224.88169182754496,174.49171023110796,1005.525577482864,32
69,5,218.91681062681994,228.5589376275917,179.12251848713487,1021.5267014811876,31
70,5,223.4676813603265,233.1355911714882,183.47366640427026,1036.198363294437,29
71,5,228.0890942594586,237.49167904876057,187.5680105775582,1050.145126826935,27
72,5,232.18701594127657,244.4686331168553,191.80080203082844,1064.383884626568,28
73,5,237.3994674152317,248.89172586738192,196.31721495801006,1080.9774935309044,32
74,5,242.0638686543653,255.21264960619345,201.0339001221999,1096.840601852805,31
75,5,246.97894295405814,257.22751754244837,205.45000567920601,1110.518371005283,28
76,5,252.96969699448917,264.081450253022,210.23149034807125,1125.9876622838349,31
77,5,260.8747484687594,270.0163534273038,215.5202227654858,1141.7768228268785,32
78,5,266.33524271009196,274.79966134225646,220.31449429081448,1156.7076176864286,30
79,5,269.56342329754403,277.69293454159646,224.28247074224691,1169.857791511724,27
80,5,273.0046874372088,284.17914563346847,228.9397821928168,1184.4298132373456,30
81,5,275.79946987526404,288.89791109689173,233.00141416344323,1198.1031007234214,27
82,5,282.9664405977668,291.84044750398914,237.8440115931352,1214.7539907246041,32
83,5,289.0311321875417,298.3852075622093,243.29456551630403,1230.7855153165278,32
84,5,292.5324605929947,301.87506038048224,247.86290732475152,1245.7530480423773,30
85,5,296.07661572710936,306.8441347619595,252.19719917011233,1259.28297885483,27
86,5,300.1618511745673,310.55026299733396,256.98009056122277,1275.1827502249153,32
87,5,303.6032511902394,314.7558384542482,260.9282629194987,1290.1692822459934,30
88,5,308.8118374218128,323.426899210445,265.36437898882514,1304.7849225370578,30
89,5,314.8149904255117,329.3518246101571,270.01189171076226,1318.6566124217893,28
90,5,320.3211511505728,332.22089091147194,274.44673363469536,1333.7241926720544,29
91,5,325.51350407067366,334.5401096550732,278.75585503636233,1348.7633260266487,29
92,5,330.21466858010183,340.3108484259321,282.983229266638,1362.8103033116552,29
93,5,334.5451086204786,345.75547830959516,287.7749910350491,1378.450956983966,31
94,5,335.8861378188886,348.7506746798909,291.5853852899239,1393.4965111450044,30
95,5,339.9305803295795,355.7781912741554,295.3855660946074,1406.5316424069051,27
96,5,346.4615333243359,361.7286523824855,299.7631543458132,1420.6382269873893,28
97,5,355.50191656914467,365.5614274588215,304.2797091486329,1434.0520142207029,27
98,5,358.8374615436147,368.2060319062134,308.3716107356183,1449.6673606275722,31
99,5,365.45653726286673,376.2714088024906,313.30857152737997,1464.4624991291957,30
