time,pattern,strategy,traffic,active_replicas,p95_latency,p99_latency,cpu_usage
0,stable,Round-Robin,518,10,23.643708050232163,23.643708050232163,"[9.935358878624902, 9.914702529244682, 11.128482456832803, 10.5471916193441, 9.561757281871369, 10.375779629967925, 10.338427804128278, 10.370416525059099, 10.08736412499433, 11.21156955242946]"
1,stable,Round-Robin,540,10,25.628383800249104,25.628383800249104,"[18.379582284601753, 17.23497684544071, 18.37127748053599, 17.325934130407504, 16.801818321153668, 17.548589478555186, 17.706694397632138, 17.808908527521332, 18.829132782639938, 18.606760222396858]"
2,stable,Round-Robin,547,10,25.66733853783307,25.66733853783307,"[23.251732358548402, 23.142143522471912, 24.052322655903406, 22.783047235039767, 23.423844906775173, 22.76514290613534, 23.69735247833658, 22.922516345746807, 23.92551798770186, 22.900875521022513]"
3,stable,Round-Robin,519,10,27.03113412404805,27.03113412404805,"[27.14528763078959, 25.699153946414476, 28.169242117172423, 25.88273343985756, 27.783833541050775, 25.541812765222037, 27.775813213053766, 25.71714532597383, 26.174584529019118, 26.689313886351183]"
4,stable,Round-Robin,550,10,28.63955455325411,28.63955455325411,"[29.8882947741772, 28.867937116420762, 29.831744927098985, 28.33928302643718, 30.42089283286443, 28.62604850188066, 30.86595163635009, 30.101005432516526, 28.924269720668885, 29.117914615422947]"
5,stable,Round-Robin,492,10,28.801967058312236,28.801967058312236,"[30.780681135966077, 29.1049642064187, 29.76881996875445, 30.055223901678005, 31.60000186641096, 30.182226105502885, 31.079997635630477, 30.49593700917324, 30.878140201428685, 31.124153332007005]"
6,stable,Round-Robin,541,10,29.19302023280061,29.19302023280061,"[32.65648176464801, 31.625439638872585, 31.26245825813328, 31.16956185888173, 33.28321996293851, 32.11723824037922, 31.9158998928429, 32.75285781903471, 31.58966383848551, 33.66577485836621]"
7,stable,Round-Robin,530,10,29.04160389318467,29.04160389318467,"[32.85385865686829, 31.98157965615484, 32.61041559333954, 32.6754750861265, 33.57602367573069, 34.03818668193188, 33.65506137013949, 33.424247304907844, 32.21265584981822, 34.14804762416024]"
8,stable,Round-Robin,493,10,29.09337824598435,29.09337824598435,"[33.26632684953239, 31.339366839459977, 33.112785523847094, 32.88762815662603, 32.61314443432427, 32.847571561575535, 33.91348024869551, 34.10301478042264, 32.52319275756367, 34.148250241709135]"
9,stable,Round-Robin,533,10,29.293294790302923,29.293294790302923,"[33.888582655612076, 32.27038387071337, 33.9822229501193, 34.32555068661144, 33.857778401069915, 33.3734503402627, 35.276887711609206, 33.50444179581668, 34.475738098926044, 33.77459645185422]"
10,stable,Round-Robin,518,10,28.842027250625637,28.842027250625637,"[33.52032452800411, 33.8151224618754, 34.08531013009794, 34.15524194453215, 34.653728505285855, 34.450119279359704, 35.96623256422518, 34.24502004319033, 34.98552898891573, 34.63063676020184]"
11,stable,Round-Robin,467,10,28.194446570382155,28.194446570382155,"[33.505263903937184, 33.65599782328834, 32.823132236147075, 32.40010689444529, 34.44333712435503, 32.67251651785999, 33.89225079882782, 32.79998548183529, 34.30537623172647, 33.274286768681556]"
12,stable,Round-Robin,498,10,29.00526623067741,29.00526623067741,"[32.66543403957493, 33.71030872158508, 32.863072010654804, 31.755101334071785, 33.961189179321224, 32.534127126497765, 33.682356793156025, 32.24049640797219, 33.181778701116805, 32.94345458044205]"
13,stable,Round-Robin,516,10,28.955178305207586,28.955178305207586,"[34.05092117407578, 34.442209173419556, 33.282507140720334, 33.56109836297438, 33.344649297334755, 32.17047350888448, 33.93523080009623, 32.2479634544153, 34.2285266956708, 34.03068128813429]"
14,stable,Round-Robin,508,10,28.8935300256665,28.8935300256665,"[34.23144193171049, 33.60390398510928, 34.32104146166353, 33.406567047487115, 34.06453467341765, 32.52089330029793, 33.159691686017034, 31.85170542933959, 33.304035122883604, 34.38514648951502]"
15,stable,Round-Robin,459,10,28.128217364995347,28.128217364995347,"[32.70032866094504, 33.2487050800076, 34.059219658171365, 32.79728574740013, 33.592322043073736, 31.86583975705525, 31.673854285935516, 31.571873571270288, 32.46394360877786, 33.75202418907645]"
16,stable,Round-Robin,475,10,28.61275396502124,28.61275396502124,"[32.898220988309696, 32.7735651295125, 33.40634961768485, 32.880405479824354, 33.60226394279032, 31.68073843216257, 30.81733227861927, 32.193158121504204, 31.509398350671155, 32.327950693839895]"
17,stable,Round-Robin,550,10,28.880911929764263,28.880911929764263,"[35.002244450945874, 34.35901176260179, 33.58307768903215, 33.171333768880295, 34.80276026681925, 32.426195604261736, 32.429556165575534, 33.04119990965109, 32.37243095944502, 33.45739971970471]"
18,stable,Round-Robin,513,10,28.73544715513447,28.73544715513447,"[34.82249961781746, 34.173622328493984, 33.05446536309036, 34.19137303907796, 35.637101995946566, 32.31830159401993, 32.271092262371646, 33.98752588197233, 33.109917551807875, 33.25365153272117]"
19,stable,Round-Robin,490,10,29.116630599919667,29.116630599919667,"[34.683031882451495, 32.79064074715673, 33.89359602508631, 34.22728810293484, 33.77734138942914, 32.52344042419932, 33.211054380632554, 34.40529890321342, 33.71657364541636, 32.35615111014263]"
20,stable,Round-Robin,484,10,28.925625387827033,28.925625387827033,"[34.33199995433459, 31.915390649096054, 33.66772806110548, 33.71041833890275, 32.71510849802576, 31.495487791311312, 32.96463862262068, 33.7722816605105, 33.2030998658798, 31.507897347996284]"
21,stable,Round-Robin,522,10,29.033546096162286,29.033546096162286,"[34.53039857612511, 33.68500616740283, 33.13556678841775, 34.18632365056959, 32.32413629240496, 32.0301883878156, 33.775699012549055, 34.44177756903437, 34.68371780574514, 31.53649763982215]"
22,stable,Round-Robin,493,10,29.389987654281125,29.389987654281125,"[33.14144669022676, 33.38108680938237, 33.18947364116533, 33.32767448679357, 32.92552110085509, 31.424929372688638, 34.473509435640665, 34.7939893754122, 34.58591870223566, 32.1399077524451]"
23,stable,Round-Robin,453,10,28.670227754793334,28.670227754793334,"[32.04358205335391, 32.60270713783582, 31.933891998594014, 32.24876820477925, 31.366076922579918, 30.51613822371217, 33.52302011165543, 34.314555914993534, 33.57670275157878, 31.909139594713928]"
24,stable,Round-Robin,496,10,28.714543067535157,28.714543067535157,"[31.461685233501797, 32.24050097050974, 31.975948404073282, 32.34777516215763, 32.44186228781217, 30.41922759675134, 33.448836822965674, 34.90184645608882, 34.000526938838604, 31.272471814686085]"
25,stable,Round-Robin,492,10,29.22144391047563,29.22144391047563,"[31.18507089619505, 31.46348438654614, 32.51885231516512, 32.59039933090551, 31.875108544141266, 31.99279088880391, 33.06026436475907, 34.94452571316643, 34.57282364192197, 31.314060612816185]"
26,stable,Round-Robin,467,10,27.74801934749985,27.74801934749985,"[30.98622741712506, 31.57888763154166, 31.17724539001457, 31.75419014020786, 32.06184331393193, 31.848558645703797, 33.18967502712892, 32.969375955706816, 33.5315676576818, 31.630317397600336]"
27,stable,Round-Robin,503,10,29.174322733487223,29.174322733487223,"[32.603840898642325, 31.2033959933499, 31.76111521952319, 33.03878376089479, 33.07851046924948, 31.533215856223627, 33.494904615020104, 33.45639144453191, 33.636623288069416, 31.9004599566789]"
28,stable,Round-Robin,534,10,28.749344135763618,28.749344135763618,"[33.24445045289943, 32.37421109758927, 33.52827455235739, 34.74272262198029, 33.081320900819335, 33.0188414848936, 33.40993892483269, 34.07561502052777, 35.26871061790789, 32.53610880227659]"
29,stable,Round-Robin,500,10,28.790651145964556,28.790651145964556,"[32.85156447007846, 31.73758304664854, 33.79453547525888, 34.424671670507514, 33.79046756209142, 33.25737145879543, 33.81409940369892, 33.23303197147693, 33.92997935496821, 33.408140726198866]"
30,stable,Round-Robin,494,10,28.310255958611016,28.310255958611016,"[32.405372244476254, 31.488837440974248, 32.7940470108491, 33.87510665485756, 33.743590060965474, 32.63353127502445, 33.55132907846689, 33.46452065743287, 33.99901466852556, 32.86276778727197]"
31,stable,Round-Robin,520,10,28.760055508138347,28.760055508138347,"[32.64799950963221, 31.9474607060475, 34.085298574140026, 33.66424285912545, 33.05286271357456, 34.123120407985425, 34.756441554650145, 33.52055204303896, 33.280832114063756, 32.48193000303057]"
32,stable,Round-Robin,520,10,28.788078454879372,28.788078454879372,"[33.275758239706846, 32.58073613326742, 33.80359957415207, 34.113606540830204, 33.74330939354481, 33.382924255619876, 34.07942357703565, 34.27809987264483, 34.11210610551196, 33.056893749159244]"
33,stable,Round-Robin,477,10,28.873440294957902,28.873440294957902,"[32.13529803796709, 32.45376532921729, 32.51186325879345, 34.24451393245958, 33.930009719724914, 32.73135811306, 33.3841197154661, 32.604419470661554, 32.90988220146396, 32.46223479963638]"
34,stable,Round-Robin,500,10,28.389431917736104,28.389431917736104,"[32.786000856240975, 33.43653458303885, 33.20683532363715, 34.825685090918064, 33.50740076108148, 33.262516569458036, 32.47491788238149, 33.53942068788793, 32.15817176586025, 32.60881965308964]"
35,stable,Round-Robin,492,10,28.268404692143292,28.268404692143292,"[33.37681895270494, 33.49865933973479, 33.31929983382861, 33.77386091114678, 32.41387735100645, 32.943153740741856, 32.40870868725973, 33.082792623375255, 31.650352471431646, 33.00662008346328]"
36,stable,Round-Robin,515,10,28.762028307987336,28.762028307987336,"[34.1143765100259, 33.71376720186322, 33.9470527240735, 34.80520444268673, 33.35630534805764, 33.1025844126358, 32.03766427145282, 34.32013349210162, 32.76736397325483, 32.42868336239749]"
37,stable,Round-Robin,501,10,28.95968306688921,28.95968306688921,"[34.86608429593146, 34.19761470975105, 33.645548619150595, 35.105217722462356, 34.03621222934646, 33.65597970765147, 31.729610408017358, 33.05084623186518, 33.34062210962009, 32.74588285715359]"
38,stable,Round-Robin,523,10,28.80782139039404,28.80782139039404,"[34.31525421479993, 34.13958164387577, 34.70014950198048, 35.616878252704176, 33.64948381441477, 33.79045386578595, 31.771483576768603, 32.715264507108614, 34.13221018447594, 33.37306975916895]"
39,stable,Round-Robin,543,10,29.33764194495126,29.33764194495126,"[35.570622209273424, 35.73860111499367, 36.014883718337856, 36.08273951722704, 34.10831323616171, 34.58401251171716, 32.2525014266923, 34.715519396965185, 34.0122467971552, 34.10640058595542]"
40,stable,Round-Robin,533,10,29.479582983774105,29.479582983774105,"[35.122584934275324, 35.04853657786379, 35.63196870044043, 36.87514693381363, 34.54791368863566, 34.062680811724626, 33.657308372762536, 34.73528880251651, 34.48578680596839, 33.843621892278044]"
41,stable,Round-Robin,480,10,29.19109536725958,29.19109536725958,"[34.49361433738688, 33.915266713799504, 35.153638129803454, 34.61142803827624, 33.83579680263877, 34.28484124208225, 34.112622665300336, 34.38602071152353, 33.65119061388521, 32.418938131837535]"
