Time Step,Round-Robin,Least-CPU,Resource-Aware
0,0,0,0
1,0,3,0
2,5,5,5
3,5,5,5
4,5,5,5
5,5,5,5
6,5,5,5
7,5,5,5
8,5,5,5
9,5,5,5
10,5,5,5
11,5,5,5
12,5,5,5
13,5,5,5
14,5,5,5
15,5,5,5
16,5,5,5
17,5,5,5
18,5,5,5
19,5,5,5
20,5,5,5
21,5,8,5
22,5,10,5
23,9,10,5
24,10,10,10
25,10,10,10
26,10,10,10
27,10,10,10
28,10,10,10
29,10,10,10
30,10,10,10
31,10,10,10
32,10,10,10
33,10,10,10
34,10,10,10
35,10,10,10
36,10,10,10
37,10,10,10
38,10,10,10
39,10,10,10
40,10,10,10
41,10,13,10
42,10,15,10
43,10,15,10
44,14,15,10
45,15,15,15
46,15,15,15
47,15,15,15
48,15,15,15
49,15,15,15
50,15,15,15
51,15,15,15
52,15,15,15
53,15,15,15
54,15,15,15
55,15,15,15
56,15,15,15
57,15,15,15
58,15,15,15
59,15,15,15
60,15,15,15
61,15,18,15
62,15,20,15
63,15,20,15
64,15,20,15
65,17,20,15
66,20,20,20
67,20,20,20
68,20,20,20
69,20,20,20
70,20,20,20
71,20,20,20
72,20,20,20
73,20,20,20
74,20,20,20
75,20,20,20
76,20,20,20
77,20,20,20
78,20,20,20
79,20,20,20
80,20,20,20
81,20,22,20
82,20,25,20
83,20,25,20
84,20,25,20
85,22,25,20
86,23,25,20
87,25,25,25
88,25,25,25
89,25,25,25
90,25,25,25
91,25,25,25
92,25,25,25
93,25,25,25
94,25,25,25
95,25,25,25
96,25,25,25
97,25,25,25
98,25,25,25
99,25,25,25
100,25,25,25
101,25,26,25
102,25,29,25
103,25,30,25
104,25,30,25
105,27,30,25
106,28,30,25
107,30,30,25
108,30,30,30
109,30,30,30
110,30,30,30
111,30,30,30
112,30,30,30
113,30,30,30
114,30,30,30
115,30,30,30
116,30,30,30
117,30,30,30
118,30,30,30
119,30,30,30
120,30,30,30
121,30,31,30
122,30,33,30
123,30,35,30
124,30,35,30
125,32,35,30
126,33,35,30
127,35,35,30
128,35,35,30
129,35,35,35
130,35,35,35
131,35,35,35
132,35,35,35
133,35,35,35
134,35,35,35
135,35,35,35
136,35,35,35
137,35,35,35
138,35,35,35
139,35,35,35
140,35,35,35
141,35,36,35
142,35,38,35
143,35,40,35
144,35,40,35
145,37,40,35
146,38,40,35
147,40,40,35
148,40,40,35
149,40,40,35
150,40,40,40
151,40,40,40
