timestamp,pod_name,cpu_usage,memory_usage
2025-03-29 03:19:18,adservice-78bb57dfbd-qlv75,27m,135Mi
2025-03-29 03:19:18,cartservice-5b68c68477-hm8dm,57m,100Mi
2025-03-29 03:19:18,checkoutservice-854f5747fd-khqzm,14m,56Mi
2025-03-29 03:19:18,currencyservice-7d8f79889b-cljl5,92m,86Mi
2025-03-29 03:19:18,emailservice-6787c86dcd-7qmsx,13m,95Mi
2025-03-29 03:19:18,frontend-6659c9d65f-92czd,215m,66Mi
2025-03-29 03:19:18,loadgenerator-5d95b8b6f-hqhbt,36m,93Mi
2025-03-29 03:19:18,paymentservice-7fb78c9cdb-dpzlk,10m,75Mi
2025-03-29 03:19:18,productcatalogservice-589d6845fd-5v6pn,90m,63Mi
2025-03-29 03:19:18,recommendationservice-6cf78cdb66-9nvrf,42m,87Mi
2025-03-29 03:19:18,redis-cart-bf5c68f69-fkddf,23m,53Mi
2025-03-29 03:19:18,shippingservice-584657c6cb-kbbzp,16m,57Mi
2025-03-29 03:19:19,adservice-78bb57dfbd-qlv75,27m,135Mi
2025-03-29 03:19:19,cartservice-5b68c68477-hm8dm,57m,100Mi
2025-03-29 03:19:19,checkoutservice-854f5747fd-khqzm,14m,56Mi
2025-03-29 03:19:19,currencyservice-7d8f79889b-cljl5,92m,86Mi
2025-03-29 03:19:19,emailservice-6787c86dcd-7qmsx,13m,95Mi
2025-03-29 03:19:19,frontend-6659c9d65f-92czd,215m,66Mi
2025-03-29 03:19:19,loadgenerator-5d95b8b6f-hqhbt,36m,93Mi
2025-03-29 03:19:19,paymentservice-7fb78c9cdb-dpzlk,10m,75Mi
2025-03-29 03:19:19,productcatalogservice-589d6845fd-5v6pn,90m,63Mi
2025-03-29 03:19:19,recommendationservice-6cf78cdb66-9nvrf,42m,87Mi
2025-03-29 03:19:19,redis-cart-bf5c68f69-fkddf,23m,53Mi
2025-03-29 03:19:19,shippingservice-584657c6cb-kbbzp,16m,57Mi
2025-03-29 03:19:20,adservice-78bb57dfbd-qlv75,27m,135Mi
2025-03-29 03:19:20,cartservice-5b68c68477-hm8dm,57m,100Mi
2025-03-29 03:19:20,checkoutservice-854f5747fd-khqzm,14m,56Mi
2025-03-29 03:19:20,currencyservice-7d8f79889b-cljl5,92m,86Mi
2025-03-29 03:19:20,emailservice-6787c86dcd-7qmsx,13m,95Mi
2025-03-29 03:19:20,frontend-6659c9d65f-92czd,215m,66Mi
2025-03-29 03:19:20,loadgenerator-5d95b8b6f-hqhbt,36m,93Mi
2025-03-29 03:19:20,paymentservice-7fb78c9cdb-dpzlk,10m,75Mi
2025-03-29 03:19:20,productcatalogservice-589d6845fd-5v6pn,90m,63Mi
2025-03-29 03:19:20,recommendationservice-6cf78cdb66-9nvrf,42m,87Mi
2025-03-29 03:19:20,redis-cart-bf5c68f69-fkddf,23m,53Mi
2025-03-29 03:19:20,shippingservice-584657c6cb-kbbzp,16m,57Mi
2025-03-29 03:19:21,adservice-78bb57dfbd-qlv75,33m,136Mi
2025-03-29 03:19:21,cartservice-5b68c68477-hm8dm,46m,100Mi
2025-03-29 03:19:21,checkoutservice-854f5747fd-khqzm,22m,56Mi
2025-03-29 03:19:21,currencyservice-7d8f79889b-cljl5,116m,88Mi
2025-03-29 03:19:21,emailservice-6787c86dcd-7qmsx,14m,95Mi
2025-03-29 03:19:21,frontend-6659c9d65f-92czd,265m,66Mi
